X,Y,FID,ID,Longitud,latitud,Nombre_Con,Comuna,Región,Total_depa,Año_Permi,Superficie,Villa_de_B,jardin_inf,Ed_basica,Ed_media,Hospital,Consultori,Sapu,Bomberos
-73.042067110497499,-36.80578487678391,623,622,-73.042067,-36.805785,Edificio Conjunto Lo Custodio,Concepción,VIII,80,1997,47.635,No,148.013458,493.235279,1320.469741,2178.402705,1188.718355,1188.718355,116.519565
-73.038756188309307,-36.823893847881607,624,623,-73.038756,-36.823894,Edificio Lautaro,Concepción,VIII,8,1990,59.23125,No,686.014779,206.133561,163.00304,160.023908,541.692003,2059.997153,116.091683
-73.045179919702704,-36.823140041701905,625,624,-73.04518,-36.82314,Freire 1112,Concepción,VIII,16,1968,70.885,No,828.662345,387.753339,387.753339,698.640527,96.610144,1654.843054,466.319862
-73.048654799139399,-36.824590101767093,626,625,-73.048655,-36.82459,Freire 844,Concepción,VIII,9,1959,63.351111,No,548.90854,504.730093,504.730093,976.45814,349.619482,1680.738228,410.412558
-73.077738832190406,-36.809356220058604,627,626,-73.077739,-36.809356,Grupo Habitacional General Ramón Freire Sector 2,Concepción,VIII,120,1959,83.56,No,598.087437,300.744538,291.82303,3977.432588,398.079164,398.079164,834.429592
-73.066669755070507,-36.823052170008388,628,627,-73.06667,-36.823052,Guillermo Matta 120,Concepción,VIII,64,2000,50.625,No,337.061839,57.217733,1128.183236,2593.93335,566.218948,1562.736464,1240.105136
-73.058682713540904,-36.811164606422111,629,628,-73.058683,-36.811165,Juan De Dios Rivera,Concepción,VIII,96,1977,64.75,No,312.0661,462.930686,1129.074913,2427.031464,414.634457,414.634457,928.938196
-73.056405439592297,-36.828771725884785,630,629,-73.056405,-36.828772,Julio Braunfeld,Concepción,VIII,21,1962,83.466667,No,311.929501,714.144342,545.14746,1716.924838,27.098831,2079.33432,351.535672
-73.042339195706901,-36.826071529784009,631,630,-73.042339,-36.826072,Pedro Aguirre Cerda N°1179,Concepción,VIII,8,1972,58.86125,No,502.896836,558.643139,547.049963,425.323051,322.712951,2063.91498,312.756526
-73.056134480007401,-36.817743217897494,632,631,-73.056134,-36.817743,Población Cabo José Caries Díaz,Concepción,VIII,92,1974,75.473478,No,403.572257,392.733052,392.733052,1834.221324,861.92352,861.92352,597.948219
-73.047770085295895,-36.818345999790104,633,632,-73.04777,-36.818346,Remodelación Eleuterio Ramírez 168,Concepción,VIII,100,1979,82.8916,No,786.665252,203.333106,203.333106,1167.274993,677.142373,1078.569746,538.39085
-73.043912304820793,-36.818537309667697,634,633,-73.043912,-36.818537,Remodelación Paicaví Etapa II,Concepción,VIII,48,1970,70,No,986.130637,307.193965,107.468274,912.37606,607.934997,1310.899662,598.506067
-73.003880351983497,-36.822923641819607,635,634,-73.00388,-36.822924,San Pablo Collao 3,Concepción,VIII,120,2011,0,No,762.727703,1010.070279,2917.334982,2911.828661,922.978764,4715.888586,425.279279
-73.038656453369597,-36.819346381150403,636,635,-73.038656,-36.819346,Conjunto Hab. Los Conquistadores de Maipú 1676,Concepción,VIII,33,1967,66.42,No,889.668256,401.671667,512.362692,642.285554,688.478175,1726.107044,266.105811
-73.1605266296704,-36.982091167400519,637,636,-73.160527,-36.982091,"Lagunillas 3, Manzana 33",Coronel,VIII,20,1979,50.05,No,204.618775,191.563093,2909.213479,5615.45063,251.121457,251.121457,288.778113
-73.159448498036596,-36.982113318701401,638,637,-73.159448,-36.982113,"Lagunillas 3, Manzana 94",Coronel,VIII,30,1979,56.25,No,111.127547,95.982238,2884.787667,5576.286022,177.561606,177.561606,276.129271
-73.157306191194095,-36.982167398261105,639,638,-73.157306,-36.982167,"Lagunillas 3, Manzana 104",Coronel,VIII,52,1979,55.003846,No,92.965498,97.496827,2844.176881,5501.571795,155.051887,155.051887,341.040176
-73.156237216745794,-36.982197707987098,640,639,-73.156237,-36.982198,"Lagunillas 3, Manzana 110",Coronel,VIII,48,1979,52.2,No,184.747951,192.290701,2828.157241,5466.057011,218.443533,218.443533,404.23807
-73.179534272964204,-37.024363746071224,641,640,-73.179534,-37.024364,Colectivo Chollin,Coronel,VIII,196,1943,0,No,67.084865,1607.229527,2520.032226,3917.770218,2935.916424,2935.916424,202.745779
