cod_zona,nse_index,idencuesta
13122041004,.54565948,131220322
13122041004,.54565948,131220327
13122061004,.41874069,13122041
13122061004,.41874069,13122044
13122081001,.44103393,13122051
13122081001,.44103393,13122052
13122081001,.44103393,131220521
13122081001,.44103393,131220524
13122081001,.44103393,131220525
13122101002,.38848087,13122065
13122101002,.38848087,13122066
13110031004,.54862869,13122071
13122111005,.31284213,131220721
13122111005,.31284213,131220722
13122111005,.31284213,131220727
13122111005,.31284213,13122074
13122111005,.31284213,13122077
13123011008,.91114432,13123016
13123021004,.83549327,131230214
13123021004,.83549327,13123026
13123021004,.83549327,13123028
13123031006,.97533751,13123031
13123041002,.96330017,13123044
13123041009,.95735914,13123053
13123041009,.95735914,13123056
13123061001,.84844512,131230621
13123061001,.84844512,13123066
13123081002,.93801886,13123075
13123081002,.93801886,13123078
13124021003,.24723613,131240126
13124021003,.24723613,13124014
13124021003,.24723613,13124015
13124041001,.23509495,131240221
13119021007,.46745458,13124025
13124041001,.23509495,13124027
13124061010,.2350233,13124045
13124061017,.47149011,13124054
13124071001,.83971882,131240623
13124101003,.23264204,13124071
13124101003,.23264204,13124072
13124101003,.23264204,13124075
13125021019,0,13125041
13125021019,0,13125046
13125041006,.70338327,131250524
13125041006,.70338327,131250528
13125041012,.57017946,131250621
13125041012,.57017946,13125063
13126021004,.46326602,131260121
13126021004,.46326602,131260122
13126021004,.46326602,131260123
13126021004,.46326602,131260127
13126051002,.50582063,13126023
13126051002,.50582063,13126025
13126081001,.32261887,13126032
13126081001,.32261887,131260321
13126081001,.32261887,131260322
13126081001,.32261887,131260324
13126081001,.32261887,131260326
13127011001,.56315941,131270125
13127041002,.39049405,13127023
13127061004,.27692294,13127032
13127061004,.27692294,131270324
13127061004,.27692294,131270325
13127061004,.27692294,131270326
13127061004,.27692294,131270327
13127061004,.27692294,13127033
13127061004,.27692294,13127034
13127061004,.27692294,13127035
13127091001,.38576594,13127042
13127091001,.38576594,131270422
13127091001,.38576594,131270423
13127091001,.38576594,131270424
13127091001,.38576594,131270426
13127091001,.38576594,131270428
13127111004,.47535619,131270521
13127111004,.47535619,131270522
13127111004,.47535619,131270523
13127111004,.47535619,131270528
13128011002,.32006544,13128013
13128011002,.32006544,13128014
13128011002,.32006544,13128016
13128081001,.23646758,13128041
13128101003,.242596,131280521
13128101003,.242596,131280524
13128101003,.242596,13128053
13128101003,.242596,13128055
13129021004,.36331227,13129012
13129021004,.36331227,131290121
13129021004,.36331227,131290123
13129021004,.36331227,131290128
13129021004,.36331227,13129014
13129021004,.36331227,13129016
13129051003,.43641067,13129021
13129051003,.43641067,131290221
13129051003,.43641067,131290224
13129051003,.43641067,131290226
13129051003,.43641067,13129024
13129071005,.28719485,13129032
13129071005,.28719485,131290325
13129071005,.28719485,131290326
13129071005,.28719485,131290328
13130031003,.49740753,131300121
13130031003,.49740753,131300122
13130031003,.49740753,131300124
13130031003,.49740753,131300128
13201161006,.51280326,13130016
13130031003,.49740753,13130018
13130051004,.75617641,13130021
13130051004,.75617641,13130022
13130051004,.75617641,13130025
13131021001,.52898031,131310121
13131021001,.52898031,131310125
13131021001,.52898031,131310126
13131021001,.52898031,13131013
13131021001,.52898031,13131014
13131021001,.52898031,13131016
13131021001,.52898031,13131018
13131051001,.2151655,13131021
13131051001,.2151655,131310225
13131051001,.2151655,131310228
13131051001,.2151655,13131023
13131051001,.2151655,13131024
13131051001,.2151655,13131025
13131071003,.27877143,131310323
13131071003,.27877143,131310325
13131071003,.27877143,131310327
13131071003,.27877143,131310328
13132021002,.99045736,13132015
13132031002,1,131320222
13132041008,.91042328,131320327
13201021001,.67285824,13201011
13201021001,.67285824,13201013
13201021001,.67285824,13201017
13201031001,.5610882,13201025
13201041003,.47838208,13201034
13201041003,.47838208,13201037
13201051002,.069034323,13201044
13201051002,.069034323,13201047
13201051007,.17385845,13201051
13201061007,.47315258,13201061
13201061007,.47315258,13201062
13201061007,.47315258,13201063
13201071007,.51859313,13201071
13201071007,.51859313,13201074
13201081005,.39727566,13201082
13201081005,.39727566,13201085
13201101002,.48949862,13201096
13201121001,.552239,132011021
13201121001,.552239,132011024
13201121001,.552239,132011025
13201121001,.552239,13201103
13201121001,.552239,13201104
13201131005,.22924805,13201111
13131061002,.40261576,13201122
13201141005,.19720019,132011222
13201141005,.19720019,132011225
13201141005,.19720019,132011228
13201141005,.19720019,13201125
13201141005,.19720019,13201126
13201161001,.27463967,13201131
13201161001,.27463967,13201132
13201161001,.27463967,13201134
13201161001,.27463967,13201135
13201171007,.65304315,13201155
13201181005,.20098284,13201165
13201181005,.20098284,13201166
13201191003,.46511781,132011723
13201191003,.46511781,132011728
13201191003,.46511781,13201174
13201191003,.46511781,13201175
13201191003,.46511781,13201177
13201191007,.42566645,13201182
13201191007,.42566645,13201185
13201191007,.42566645,13201186
13201191007,.42566645,13201187
13401051002,.26807505,13401022
13401051002,.26807505,13401025
13401051002,.26807505,13401027
13401061004,.27915743,13401032
13401061004,.27915743,13401034
13401061004,.27915743,13401036
13401061004,.27915743,13401037
13401061011,.10226742,134010423
